,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter courses in columns G-AJ. Mark outcomes with any character.,,,,,<course 1>,<Course 2>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA,KU,Coverage,Level,KU Outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,1,Familiarity,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,1,Assessment,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,1,Usage,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,1,Familiarity,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,1,Familiarity,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,1,Assessment,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,1,Familiarity,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,2,Usage,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,2,Usage,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,2,Familiarity,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,2,Usage,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Basic Analysis,2,Usage,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Algorithmic Strategies ,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Algorithmic Strategies ,1,Familiarity,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
